ID,Disease
0,DB00007
1,DB00010
2,DB00014
3,DB00017
4,DB00035
5,DB00067
6,DB00091
7,DB00104
8,DB00114
9,DB00115
10,DB00122
11,DB00125
12,DB00126
13,DB00131
14,DB00136
15,DB00140
16,DB00153
17,DB00160
18,DB00162
19,DB00163
20,DB00165
21,DB00167
22,DB00169
23,DB00175
24,DB00176
25,DB00177
26,DB00178
27,DB00179
28,DB00180
29,DB00181
30,DB00182
31,DB00186
32,DB00187
33,DB00188
34,DB00190
35,DB00191
36,DB00193
37,DB00195
38,DB00199
39,DB00201
40,DB00203
41,DB00204
42,DB00206
43,DB00208
44,DB00210
45,DB00211
46,DB00213
47,DB00214
48,DB00215
49,DB00216
50,DB00218
51,DB00221
52,DB00222
53,DB00226
54,DB00227
55,DB00230
56,DB00232
57,DB00240
58,DB00241
59,DB00242
60,DB00244
61,DB00245
62,DB00246
63,DB00248
64,DB00252
65,DB00255
66,DB00257
67,DB00262
68,DB00264
69,DB00268
70,DB00270
71,DB00273
72,DB00275
73,DB00277
74,DB00278
75,DB00279
76,DB00280
77,DB00281
78,DB00282
79,DB00284
80,DB00285
81,DB00286
82,DB00287
83,DB00289
84,DB00290
85,DB00295
86,DB00297
87,DB00302
88,DB00304
89,DB00305
90,DB00307
91,DB00308
92,DB00310
93,DB00313
94,DB00315
95,DB00316
96,DB00318
97,DB00320
98,DB00321
99,DB00323
100,DB00324
101,DB00325
102,DB00327
103,DB00328
104,DB00331
105,DB00332
106,DB00333
107,DB00334
108,DB00335
109,DB00337
110,DB00338
111,DB00342
112,DB00343
113,DB00346
114,DB00350
115,DB00351
116,DB00352
117,DB00353
118,DB00354
119,DB00356
120,DB00357
121,DB00361
122,DB00363
123,DB00364
124,DB00366
125,DB00367
126,DB00368
127,DB00371
128,DB00373
129,DB00374
130,DB00376
131,DB00379
132,DB00380
133,DB00381
134,DB00382
135,DB00384
136,DB00385
137,DB00387
138,DB00388
139,DB00390
140,DB00393
141,DB00394
142,DB00396
143,DB00397
144,DB00398
145,DB00399
146,DB00401
147,DB00404
148,DB00407
149,DB00408
150,DB00412
151,DB00413
152,DB00414
153,DB00419
154,DB00421
155,DB00422
156,DB00424
157,DB00428
158,DB00433
159,DB00434
160,DB00436
161,DB00437
162,DB00440
163,DB00441
164,DB00443
165,DB00444
166,DB00445
167,DB00448
168,DB00449
169,DB00451
170,DB00454
171,DB00457
172,DB00458
